="",="Control",="",="Treatment",="",="Full sample",=""
="Variables",="Avg.",="SD",="Avg.",="SD",="Avg.",="SD"
="Male",="0.416",="(0.493)",="0.435",="(0.496)",="0.429",="(0.495)"
="Age",="33.483",="(10.893)",="31.877",="(9.903)",="32.427",="(10.280)"
="Family size",="3.748",="(1.839)",="3.846",="(2.052)",="3.812",="(1.982)"
="Single",="0.142",="(0.349)",="0.154",="(0.361)",="0.150",="(0.357)"
="Single-headed household",="0.110",="(0.313)",="0.118",="(0.323)",="0.116",="(0.320)"
="Dual-headed household",="0.748",="(0.434)",="0.727",="(0.445)",="0.734",="(0.442)"
="Employed",="0.481",="(0.500)",="0.459",="(0.498)",="0.467",="(0.499)"

 Reason for not working 
="Family",="0.050",="(0.219)",="0.067",="(0.250)",="0.061",="(0.240)"
="Job/work conditions",="0.191",="(0.393)",="0.210",="(0.408)",="0.204",="(0.403)"
="Laid off",="0.028",="(0.165)",="0.029",="(0.169)",="0.029",="(0.168)"
="Unpaid vacation",="0.097",="(0.296)",="0.097",="(0.296)",="0.097",="(0.296)"
="Education",="0.028",="(0.166)",="0.036",="(0.185)",="0.033",="(0.179)"
="Did not want to work",="0.020",="(0.140)",="0.019",="(0.136)",="0.019",="(0.138)"
="Ill or disabled",="0.075",="(0.264)",="0.054",="(0.225)",="0.061",="(0.239)"
="Self-employed",="0.009",="(0.097)",="0.016",="(0.126)",="0.014",="(0.117)"
="Retired",="0.007",="(0.083)",="0.001",="(0.027)",="0.003",="(0.054)"
="Other/Unknown",="0.012",="(0.110)",="0.012",="(0.110)",="0.012",="(0.110)"
="N",="2853",="",="5481",="",="8334",=""
="Unique observations",="317",="",="609",="",="926",=""
="Unique families",="201",="",="389",="",="590",=""
